,ID,PDF saved,Document Link,Franchisor,Name of Franchise,Document Type,Year,File Number,Notes,Received Date,Added On
21,PDF0021,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={A5A2F5CE-ABDF-4F6F-A10D-1F97FE57DE7E},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2014,174, FDD,4/9/2014,04/25/2014
22,PDF0022,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={BEFFA410-5F35-468B-8553-B67D92CC10B2},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2014,174, FDD,4/9/2014,04/25/2014
23,PDF0023,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={DA6E35B0-CCC1-4B70-B744-E8C8AA738A50},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2015,174,,8/4/2015,8/10/2015
24,PDF0024,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={7AD0258A-B006-4594-BE4E-0FA4F84C505E},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2015,174,,8/4/2015,8/10/2015
25,PDF0025,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={DB65D677-228E-4E85-9CBA-31A65D5F8A38},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2016,174,Red Line FDD 2016,4/1/2016,05/24/2016
26,PDF0026,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={ADAD0735-2630-47BB-83A3-778D0E687D99},Plymouth Ridge dba Coverall of the Twin Cities,Coverall of the Twin Cities,Disclosure Form,2017,2148,Clean FDD,04/24/2017,06/14/2017
27,PDF0027,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E569E7B3-FDCE-4792-87C7-BFC2F0749970},Plymouth Ridge dba Coverall of the Twin Cities,Coverall of the Twin Cities,Disclosure Form,2017,2148,AGREEMENT,04/24/2017,06/14/2017
28,PDF0028,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={7DEE087F-FB09-4F00-B2D8-516136239165},"American Poolplayers Association, Inc.","American Poolplayers Association, Inc.",Disclosure Form,2016,2173,Franchise Disclosure Document Part 2 of 3,04/21/2016,05/16/2016
29,PDF0029,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={C051B3C4-0972-4934-9F02-E83C747C604D},"American Poolplayers Association, Inc.","American Poolplayers Association, Inc.",Disclosure Form,2016,2173,Franchise Disclosure Document Part 1 of 3,04/21/2016,05/16/2016
30,PDF0030,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={6F16C113-1713-45D7-ABD7-292F4A7F3DC2},"American Poolplayers Association, Inc.","American Poolplayers Association, Inc.",Disclosure Form,2016,2173,Franchise Disclosure Document Part 3 of 3,04/21/2016,05/16/2016
31,PDF0031,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={0098746A-0000-C93C-B084-4CCA3090B986},"American Poolplayers Association, inc.","American Poolplayers Association, inc.",Disclosure Form,2019,2173,2019 FDD blacklined to show changes from 2018 version,4/3/2019,5/1/2019
32,PDF0032,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={639C68C1-B707-4566-886D-F04903F651F3},"Petland, Inc.",Petland,Disclosure Form,2016,2759, ,4/11/2016,05/24/2016
33,PDF0033,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={F85D73C4-6DD1-47F3-8B09-6E58D233A5C7},HOBBY TOWN UNLIMITED INC,HOBBY TOWN USA & HOBBY USA,Disclosure Form,2012,2760,,,04/13/2012
34,PDF0034,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={6C864919-E44C-4A07-A15E-2DB41093DE2F},"The HomeTeam Inspection Service, Inc.",HomeTeam Inspection Service,Disclosure Form,2016,2908, ,04/21/2016,05/16/2016
35,PDF0035,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={8DF7644C-AFDA-48C2-B115-A6F768ADC245},CruiseOne,CruiseOne,Disclosure Form,2015,3005,Lined FDD,5/1/2015,5/12/2015
36,PDF0036,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={C58FD434-3038-40C9-837F-8EAB939D8E63},CruiseOne,CruiseOne,Disclosure Form,2015,3005,Clean FDD,5/1/2015,5/12/2015
37,PDF0037,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={603F0481-87CC-4D56-A997-75FAF5106710},CruiseOne,CruiseOne,Disclosure Form,2015,3005,Franchise Agreement,5/1/2015,5/12/2015
38,PDF0038,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={ABD9BF07-30DC-468D-A8EC-084E206504D6},"CruiseOne, Inc.",CruiseOne,Disclosure Form,2016,3005,Lined FDD,5/3/2016,05/20/2016
39,PDF0039,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={7BAB34E1-875F-43E5-8BFB-360AAB25BFF4},"CruiseOne, Inc.",CruiseOne,Disclosure Form,2016,3005,Clean FDD,5/3/2016,05/20/2016
40,PDF0040,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E20860B1-BFDE-4E66-A6D8-66AD6C16F8B0},Buck's Pizza Franchising Corporation,Buck's Pizza,Disclosure Form,2016,3194, ,03/29/2016,05/24/2016
41,PDF0041,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={40C5F471-0000-CE59-9379-BAAFEF4341F0},"Learning Express, Inc.",Learning Express,Disclosure Form,2020,3338,Clean FDD,03/27/2020,5/8/2020
42,PDF0042,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={40C5F471-0000-C41B-BB77-DECF05403624},"Learning Express, Inc.",Learning Express,Disclosure Form,2020,3338,Redlined FDD,03/27/2020,5/8/2020
43,PDF0043,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={FAD1D627-CDE3-4F1B-A580-D30380289C1A},Godfathers Pizza Inc,Godfathers Pizza,Disclosure Form,2015,342,Redlined FDD Part II,08/28/2015,10/1/2015
44,PDF0044,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={9961CF41-99F7-4D89-8DA2-530F186CEFBA},Godfathers Pizza Inc,Godfathers Pizza,Disclosure Form,2015,342,Redlined FDD Part I,08/28/2015,10/1/2015
45,PDF0045,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={13F63AD7-A536-4AB3-8346-1C2CD219804D},"Curves International, Inc.",Curves,Disclosure Form,2015,3616, ,04/28/2015,05/13/2015
46,PDF0046,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={3AA4AC99-E5BA-43E3-8664-CE6195EA3583},"Curves International, Inc.",Curves,Disclosure Form,2016,3616, ,04/13/2016,05/24/2016
47,PDF0047,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={F84B06CC-1419-4777-A2CC-D9DC6D8D3758},Vision Source L.P.,Vision Source L.P.,Disclosure Form,2016,3651,Clean,4/1/2016,05/24/2016
48,PDF0048,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={A8B2C01B-0FA5-40B8-BED5-A871F3B9849B},Vision Source L.P.,Vision Source L.P.,Disclosure Form,2016,3651,Blacklined,4/1/2016,05/24/2016
49,PDF0049,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={7C5455BB-C230-443E-A88F-FAECFC6212C6},Vision Source L.P.,Vision Source,Disclosure Form,2017,3651,MARKED FDD,4/3/2017,5/2/2017
50,PDF0050,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={51BF0E96-8DD8-40F0-B8E9-11B694C72748},Vision Source L.P.,Vision Source,Disclosure Form,2017,3651,Clean FDD,4/3/2017,5/2/2017
51,PDF0051,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={C69ED212-D932-473B-A14A-AC8071135AE2},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2016,3681,,03/24/2016,05/24/2016
52,PDF0052,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={A2D91B4E-0ABD-47D4-8989-7A9A46FD8972},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2016,3681,,03/24/2016,05/24/2016
53,PDF0053,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={9C0863B8-29E4-4F26-B835-D608EFD713CE},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2016,3681,,03/24/2016,05/24/2016
54,PDF0054,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={2A821F21-0AE3-48A5-BB11-8225121F29C3},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2016,3681, ,03/24/2016,05/24/2016
55,PDF0055,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={F6062048-AC2A-4CBD-BADD-208DCB542770},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2016,3681,,03/24/2016,05/24/2016
56,PDF0056,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={DE8EBDFC-EC7E-4952-9B27-5D86975A8419},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2016,3681,,03/24/2016,05/24/2016
57,PDF0057,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={EC8A90E5-88A9-4674-A328-D8A20BB13790},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2016,3681,,03/24/2016,05/24/2016
58,PDF0058,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={211C0D9E-8202-4F6C-B491-3B9881817014},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2016,3681,,03/24/2016,05/24/2016
59,PDF0059,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={90353279-0000-C745-9F64-389334C46370},"TAB Boards International, Inc.",The Alternative Board,Disclosure Form,2021,3681,,4/1/2021,5/3/2021
60,PDF0060,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={A84E51B7-D84B-45B0-A92C-6CAAF90DD38B},Intelligent Office,Intelligent Office,Disclosure Form,2015,3864,Clean FDD,09/16/2015,09/30/2015
61,PDF0061,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={CF2B9F5B-8D8A-4E30-BAA4-99BCB5C15D74},Intelligent Office,Intelligent Office,Disclosure Form,2015,3864,lined FDD,09/16/2015,09/30/2015
62,PDF0062,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={936851F6-C8AF-4798-8A6D-3E5229FDFF24},DECOR & YOU INC,DECOR & YOU DESIGNER UNIT FRANCHISE AGREEMENT,Disclosure Form,2014,3973,,10/7/2014,10/9/2014
63,PDF0063,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={60BDF471-0000-CE55-AF60-AC98964C1DB3},"Fitness Together Franchise, LLC",Fitness Together,Disclosure Form,2020,4017,Blackline FDD,03/30/2020,5/8/2020
64,PDF0064,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={58EAAED1-BFCE-4C8B-A98F-987CA0621A89},"Crest Foods, Inc.",Nestle Toll Houe Cafe by Chip,Disclosure Form,2015,4040,,04/27/2015,04/27/2015
65,PDF0065,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={0B1FA1AA-11AD-4E80-985C-BC250F262332},"Crest Foods, Inc.",Nestle Toll Houe Cafe by Chip,Disclosure Form,2015,4040,,04/27/2015,04/27/2015
66,PDF0066,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={3C7441FD-1DB6-48FD-A628-FAC2EE9A7C3E},"Crest Foods, Inc.",Nestle Toll Houe Cafe by Chip,Disclosure Form,2015,4040,,04/27/2015,04/27/2015
67,PDF0067,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={C9271F20-483D-4B5C-AF8B-FCA94856B923},"Crest Foods, Inc.",Nestle Toll Houe Cafe by Chip,Disclosure Form,2015,4040,,04/27/2015,04/27/2015
68,PDF0068,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={F9A5DC2B-6F24-4AB9-A4DB-D2099A7CA01A},"Right at Home, Inc.",Right at Home,Disclosure Form,2016,4053,Blackline,03/30/2016,05/24/2016
69,PDF0069,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E75B3402-CE15-43F0-8796-0270D23ACED3},"Right at Home, Inc.",Right at Home,Disclosure Form,2016,4053,Clean,03/30/2016,05/24/2016
70,PDF0070,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={D0931166-0000-CD91-A862-8996E1EACEC0},"Right at Home, LLC",Right at Home,Disclosure Form,2018,4053,AR Blackline 2018 FDD with exhibits,4/5/2018,09/25/2018
71,PDF0071,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={D0931166-0000-C97B-A00D-F7960D49CBAF},"Right at Home, LLC",Right at Home,Disclosure Form,2018,4053,AR Clean 2018 FDD with exhibits,4/5/2018,09/25/2018
72,PDF0072,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E040D962-0000-CD7C-AF51-1E327345261A},"IKOR International, LLC",IKOR,Disclosure Form,2018,4053,OK,4/5/2018,04/18/2018
73,PDF0073,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E040D962-0000-C63A-8B83-C9F471E61F2D},"IKOR International, LLC",IKOR,Disclosure Form,2018,4053,Clean 2018 FDD with Exhibits,4/5/2018,04/18/2018
74,PDF0074,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={B035756A-0000-C883-9A93-3EB82198E95C},"Right at Home, LLC",Right at Home,Disclosure Form,2019,4053,AR FDD Clean Copy,4/8/2019,5/1/2019
75,PDF0075,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={B035756A-0000-C246-9634-2A343E6C1484},"Right at Home, LLC",Right at Home,Disclosure Form,2019,4053,AR FDD Redline,4/8/2019,5/1/2019
76,PDF0076,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={0FDF2886-0E19-4FAA-A48F-C01F651FDA1E},"EMBROIDME.COM, INC.",EmbroidMe,Disclosure Form,2016,4085,,03/24/2016,4/5/2016
77,PDF0077,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={6BF19848-F90B-4FF3-B302-DEEA62F1D80F},"EMBROIDME.COM, INC.",EmbroidMe,Disclosure Form,2016,4085,,03/24/2016,4/5/2016
78,PDF0078,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={9B2A1283-4FCF-497A-949E-D7FFFF2A2F73},"EmbroidMe.com, Inc.",Fully Promoted,Disclosure Form,2017,4085,Clean FDD,03/17/2017,04/19/2017
79,PDF0079,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={3C221F37-A22F-4D95-BD54-8934D3C33E67},"EmbroidMe.com, Inc.",Fully Promoted,Disclosure Form,2017,4085,Blacklined FDD,03/17/2017,04/19/2017
80,PDF0080,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={C736DD70-D1F6-4428-BAA4-DEB3A634B143},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2014,4118,Redline FDD,04/29/2014,5/9/2014
81,PDF0081,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={76A3DB15-9C13-4E83-AFE9-8DD1CC55ADA8},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2014,4118,Addendum to Diclosure Document,04/29/2014,5/9/2014
82,PDF0082,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={A8BF632C-B08A-4A73-8351-C8093DAEA5D8},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2014,4118,Part 2 of 2,04/29/2014,5/9/2014
83,PDF0083,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={2289DD1A-D11B-468F-B0C1-EC753A61BF97},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2014,4118,Part 1 of 2,04/29/2014,5/9/2014
84,PDF0084,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={2A37EF00-6967-4909-A7CF-B180AA99451E},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2016,4118,FDD Clean,04/19/2016,05/16/2016
85,PDF0085,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={2FF981E2-6F0A-4949-AEFB-B0F9DFA03C97},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2016,4118,MN Application,04/19/2016,05/16/2016
86,PDF0086,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={17A594A4-09D8-4B4B-BF9C-3E5A18456E6E},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2016,4118,FDD Redline,04/19/2016,05/16/2016
87,PDF0087,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={BCC72B7E-7F31-41BE-AC48-262AC5549175},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2016,4118,Accountant Consent,04/19/2016,05/16/2016
88,PDF0088,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={DC202592-7F9F-476C-BE93-4B2C3B07841F},"Chick-fil-A, Inc.",Chick-fil-A License Program,Disclosure Form,2016,4118,Cost and Source of Funds,04/19/2016,05/16/2016
89,PDF0089,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={911F8BE1-2B6C-45BD-BA37-1488063A63F4},DOMINOS PIZZA FRANCHISING LLC,DOMINOS PIZZA,Disclosure Form,2015,421,Red Lined Franchise Disclosure Document,03/26/2015,04/29/2015
90,PDF0090,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E1FE73BE-12D5-4AB9-BE09-72AF38E407E2},DOMINOS PIZZA FRANCHISING LLC,DOMINOS PIZZA,Disclosure Form,2015,421,Red Lined Franchise Disclosure Document,03/26/2015,04/13/2015
91,PDF0091,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={0665F001-D78C-4548-9991-B2976A1865D9},Certified Restoration Drycleaning Network LLC,CRDN,Disclosure Form,2016,4214,,4/11/2016,05/24/2016
92,PDF0092,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={047F917E-9931-4325-8DEE-C8E7F310E7E0},Certified Restoration Drycleaning Network LLC,CRDN,Disclosure Form,2016,4214,,4/11/2016,05/24/2016
93,PDF0093,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={FA2DAF3C-8AE9-44D7-98EC-A27A702EE40E},"Chick-fil-A, Inc.",Chick-fil-A Operator Program,Disclosure Form,2014,4275,Annual Renewal,04/29/2014,5/9/2014
94,PDF0094,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={AD29166D-23CF-4682-A3C4-63BB0A7682E7},"Chick-fil-A, Inc.",Chick-fil-A Operator Program,Disclosure Form,2014,4275,Receipt,04/29/2014,5/9/2014
95,PDF0095,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={4054213A-BB27-407E-A1C1-E2FAFDE65425},"Chick-fil-A, Inc.",Chick-fil-A Operator Program,Disclosure Form,2014,4275,Part 3 of 3,04/29/2014,5/9/2014
96,PDF0096,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={6DF49977-C698-43EE-8A3C-CD332310EECC},"Chick-fil-A, Inc.",Chick-fil-A Operator Program,Disclosure Form,2014,4275,Redline of Disclosure Document,04/29/2014,5/9/2014
97,PDF0097,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={9A6D5A2D-91E9-4DDB-9DD5-48837DFAD44C},"Chick-fil-A, Inc.",Chick-fil-A Operator Program,Disclosure Form,2014,4275,Part 1 of 3,04/29/2014,5/9/2014
98,PDF0098,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={F4ECB4B1-386D-49D2-8B11-31FEA8C9F213},"Chick-fil-A, Inc.",Chick-fil-A Operator Program,Disclosure Form,2014,4275,Part 2 of 3,04/29/2014,5/9/2014
99,PDF0099,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={87E582A2-182C-44AF-B94A-CFAA7FC7EE62},"Chick-fil-A, Inc.",Chick-fil-A Operator Program,Disclosure Form,2014,4275,Redline of Addendum,04/29/2014,5/9/2014
100,PDF0100,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={62511232-0E11-41FC-B042-34F7EF311BFD},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 7 of 7,10/3/2014,10/8/2014
101,PDF0101,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={067B3B75-A3DF-4E14-8A9C-1421E8F7083E},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Receipt,10/3/2014,10/8/2014
102,PDF0102,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={1918F39D-8293-42B6-B35F-C5C30EBA07D5},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Order Amending Registration,10/3/2014,10/8/2014
103,PDF0103,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={0DAB232B-E648-4C39-BDDD-CF23C7961A3A},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 6 of 7,10/3/2014,10/8/2014
104,PDF0104,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={721114A8-8550-4794-A448-D8DBFF8C6D01},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 5 of 7,10/3/2014,10/8/2014
